Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
Blackebergs sjukhus,hospital,Sjukhus,Blackebergs Gårdsväg,41,59.3407915,17.880512,Bromma stadsdelsområde
Lekplats,playground,Lekplats,Tranebergs Strand,,59.3320825,17.9861251,Traneberg
Lekplats,playground,Lekplats,Penselgränd,,59.340241,17.8928267,Södra Ängby
Lekplats,playground,Lekplats,Enhörningsgränd,,59.3298094,17.9575759,Stora mossen
ICA Supermarket Bromma,supermarket,Matbutik,Spångavägen,172,59.3566441,17.9114325,Bromma kyrka
Skogsbo,cafe,Kafé,Ålstens Skogsväg,14,59.3141158,17.9621571,Smedslätten
Lekplats,playground,Lekplats,Alviksvägen,,59.3168096,17.9614102,Smedslätten
Lekplats,playground,Lekplats,Carl Larssons Väg,,59.3416716,17.8950606,Södra Ängby
Bromma Kebab,fast_food,Restaurang & Snabbmat,Köpsvängen,,59.3569646,17.9479992,Mariehäll
Lekplats,playground,Lekplats,Bällstavägen,,59.360565,17.948583,Mariehäll
Lekplats,playground,Lekplats,Adolfsbergsvägen,,59.358611,17.954015,Mariehäll
Blacken,playground,Lekplats,Grundtvigsgatan,,59.3443791,17.8868159,Blackeberg
Lekplats,playground,Lekplats,"Åkeshovs eljusspår 1,5 km",,59.3439671,17.9261828,Åkeshov
Lekplats,playground,Lekplats,Alpvägen,,59.3627427,17.9536003,Mariehäll
Bubbelparken,playground,Lekplats,Linabergsstigen,,59.3620025,17.9535551,Mariehäll
Kratsbodaparken,playground,Lekplats,Kratsbodavägen,,59.3593326,17.9551604,Mariehäll
Lekplats,playground,Lekplats,Fältmarskalksvägen,,59.3385488,17.9623984,Ulvsunda
Flintsågen,playground,Lekplats,Egilsvägen,,59.3453476,17.9154268,Norra Ängby
Lekplats,playground,Lekplats,Plommonvägen,,59.3600995,17.917102,Eneby
Halstret,playground,Lekplats,Anundsvägen,,59.3526779,17.8912414,Beckomberga
Circle K Råcksta,fuel,Bensinmack,Råckstavägen,2,59.3517426,17.8866268,Råcksta
CNG Bromma,fuel,Bensinmack,Drottningholmsvägen,490,59.3377949,17.9343005,Bromma
Lekplats,playground,Lekplats,Kyrkoherdevägen,,59.3580854,17.9122928,Eneby
Lekplats,playground,Lekplats,Västerledstorget,,59.3291833,17.9686729,Stora mossen
Lekplats,playground,Lekplats,Norlindsvägen,,59.3550133,17.9148699,Bromma kyrka
Lekplats,playground,Lekplats,Spångavägen,,59.3548906,17.9146004,Bromma kyrka
Lekplats,playground,Lekplats,Terserusvägen,,59.3551456,17.9152635,Bromma kyrka
Lekplats,playground,Lekplats,Plåtslagarvägen,,59.3361083,17.9512623,Abrahamsberg
Lekplats,playground,Lekplats,Gamla Bromstensvägen,,59.3658062,17.9319645,Bällsta
Lekplats,playground,Lekplats,Gamla Bromstensvägen,,59.3658947,17.9315475,Bällsta
Lekplats,playground,Lekplats,Ulvsunda Slottsväg,,59.3359572,17.9698093,Ulvsunda
Daisy's,fast_food,Restaurang & Snabbmat,Ulvsundavägen,69,59.3405556,17.9610049,Ulvsunda
Lekplats,playground,Lekplats,Tranebergsvägen,,59.3350013,17.9892837,Traneberg
Lekplats,playground,Lekplats,Porfyrvägen,,59.3351875,17.9885794,Traneberg
Lekplats,playground,Lekplats,Olovslundsvägen,,59.3301379,17.9398654,Olovslund
Lekplats,playground,Lekplats,Vidängsvägen,,59.3370409,17.9791944,Traneberg
Lekplats,playground,Lekplats,Vidängsvägen,,59.336901,17.9796752,Traneberg
Banthai Fastfood,restaurant,Restaurang & Snabbmat,Vidängsvägen,,59.3361837,17.9792432,Traneberg
Lekplats,playground,Lekplats,Sigrid Undsets gata,,59.3479467,17.8865396,Blackeberg
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3480883,17.8790937,Blackeberg
Lekplats,playground,Lekplats,Vidängsvägen,,59.3390112,17.9790893,Traneberg
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3464,17.9718022,Ulvsunda industriområde
Lekplats,playground,Lekplats,Strömkarlsvägen,,59.3204437,17.9736502,Smedslätten
Pissamai Thai Food,fast_food,Restaurang & Snabbmat,Björnsonsgatan,,59.3492096,17.8802923,Blackeberg
Lekplats,playground,Lekplats,Ibsengatan,,59.3498935,17.8791903,Blackeberg
Bromma sjukhus,hospital,Sjukhus,Follingbogatan,32,59.3589933,17.9000524,Beckomberga
Lekplats,playground,Lekplats,Basaltgränd,,59.3621232,17.9014376,Beckomberga
Lekplats,playground,Lekplats,Agatvägen,,59.3627753,17.9007351,Eneby
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.3442181,17.8878757,Blackeberg
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3442311,17.8881535,Blackeberg
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.344457,17.8874622,Blackeberg
Lekplats,playground,Lekplats,Arvid Mörnes väg,,59.3471618,17.8744826,Blackeberg
Lekplats,playground,Lekplats,Liljegrensvägen,,59.3491927,17.9015864,Norra Ängby
Lekplats,playground,Lekplats,Doktor Abrahams väg,,59.3555266,17.9232004,Bromma kyrka
Lekplats,playground,Lekplats,Bällstavägen,,59.3604986,17.9596633,Mariehäll
Klätterställningen,playground,Lekplats,Bällstavägen,,59.35625,17.9077124,Eneby
Gungorna,playground,Lekplats,Bällstavägen,,59.3554141,17.9064061,Eneby
Röda,playground,Lekplats,Limonitvägen,,59.3576513,17.9061278,Eneby
Lekparken,playground,Lekplats,Alabastervägen,,59.357505,17.9076272,Eneby
Runda,playground,Lekplats,Bällstavägen,,59.3569141,17.9081415,Eneby
Klätterställningen,playground,Lekplats,Agatvägen,,59.3604482,17.900692,Eneby
Lekplats,playground,Lekplats,Beckombergavägen,,59.3569531,17.9029208,Beckomberga
Lekplats,playground,Lekplats,Ryggåsgatan,,59.3321385,17.9746753,Alvik
Lillsjöns utegym,fitness_station,Gym/Utomhusgym,Kvarnbacksvägen,,59.341955,17.9533817,Ulvsunda industriområde
Lekplats,playground,Lekplats,Bårdgränd,,59.3382888,17.9307205,Åkeshov
Pilspetsen,playground,Lekplats,Stora Ängby Allé,,59.3463961,17.9072244,Norra Ängby
Lekplats,playground,Lekplats,Lummelundagatan,,59.3565447,17.9025092,Beckomberga
Lekplats,playground,Lekplats,Beckombergavägen,,59.3570767,17.9024506,Beckomberga
Stenlabyrint,playground,Lekplats,Agatvägen,,59.3609893,17.900692,Eneby
Lekparken Operetten,playground,Lekplats,Sigurdsvägen,,59.3287285,17.9348156,Höglandet
ChopChop Asian Express,restaurant,Restaurang & Snabbmat,Ulvsundavägen,191B,59.3553016,17.9526324,Mariehäll
KFC,fast_food,Restaurang & Snabbmat,Ulvsundavägen,191C,59.3554815,17.9520125,Mariehäll
Pizza Hut,restaurant,Restaurang & Snabbmat,Ulvsundavägen,191 D,59.3556839,17.9514308,Mariehäll
Lekplats,playground,Lekplats,Bergslagsvägen,,59.3428394,17.9215653,Åkeshov
Lekplats,playground,Lekplats,Beckombergavägen,,59.3430163,17.9219531,Åkeshov
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,"Åkeshovs eljusspår 1,5 km",,59.3427563,17.9305386,Åkeshov
Lekplats,playground,Lekplats,Beckombergavägen,,59.3429567,17.9207375,Åkeshov
Lekplats,playground,Lekplats,Vadmalsvägen,,59.3398847,17.9429916,Bromma
Galonparken,playground,Lekplats,Galonvägen,,59.3402899,17.9469614,Riksby
Lekplats,playground,Lekplats,Spångavägen,,59.3408045,17.9375364,Bromma
Lekplats,playground,Lekplats,Elias Lönnrots väg,,59.3486093,17.8779232,Blackeberg
Lekplats,playground,Lekplats,Klas Klättermus Gata,,59.3639759,17.9526942,Mariehäll
Circle K,fuel,Bensinmack,Råckstavägen,,59.351782,17.886488,Blackeberg
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3441123,17.8865127,Blackeberg
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Västerled,,59.3288471,17.9640062,Stora mossen
Ängbybadet lekplats,playground,Lekplats,Blackebergsvägen,,59.3366757,17.8987654,Södra Ängby
Lekplats,playground,Lekplats,Åkeshovsvägen,,59.335594,17.9334947,Åkeslund
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Linabergsstigen,,59.3617969,17.9514533,Mariehäll
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3486069,17.8805094,Blackeberg
Lekplats,playground,Lekplats,Ulvsunda Strand,,59.3484471,17.9737821,Ulvsunda industriområde
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3475138,17.9717403,Ulvsunda industriområde
Lekplats,playground,Lekplats,Granbacken,,59.343095,17.9611018,Ulvsunda industriområde
Solviks utegym,fitness_station,Gym/Utomhusgym,Ålstens Skogsväg,,59.3155618,17.9663149,Smedslätten
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Alviks strand,,59.331536,17.9855691,Alvik
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Tyska Bottens Väg,,59.3295319,17.9136478,Nockebyhov
Lekplats,playground,Lekplats,Masmästarvägen,,59.3456536,17.9750334,Ulvsunda industriområde
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3455396,17.9718453,Ulvsunda industriområde
Lekplats,playground,Lekplats,Tackjärnsvägen,,59.3450769,17.9738385,Ulvsunda industriområde
Lekplats,playground,Lekplats,Ståltrådsvägen,,59.3454695,17.9723554,Ulvsunda industriområde
Lekplats,playground,Lekplats,Ericavägen,,59.3443887,17.9408692,Riksby
Lekplats,playground,Lekplats,Kratsbodavägen,,59.3591507,17.9555672,Mariehäll
Lekplats,playground,Lekplats,Kratsbodavägen,,59.359318,17.954757,Mariehäll
Lekplats,playground,Lekplats,Kratsbodavägen,,59.3594289,17.9547097,Mariehäll
Lekplats,playground,Lekplats,Linabergsstigen,,59.3620515,17.9535895,Mariehäll
Lekplats,playground,Lekplats,Linabergsstigen,,59.3621188,17.953856,Mariehäll
Lekplats,playground,Lekplats,Alpvägen,,59.3619661,17.9532735,Mariehäll
Lekplats,playground,Lekplats,Linabergsstigen,,59.3621122,17.9538933,Mariehäll
Lekplats,playground,Lekplats,Alpvägen,,59.3621558,17.9538113,Mariehäll
Lekplats,playground,Lekplats,Emils Gata,,59.3631834,17.9493822,Mariehäll
Lekplats,playground,Lekplats,Emils Gata,,59.3632078,17.9495308,Mariehäll
Lekplats,playground,Lekplats,Emils Gata,,59.3631328,17.949495,Mariehäll
Lekplats,playground,Lekplats,Tappvägen,23,59.3631964,17.9492479,Mariehäll
Lekplats,playground,Lekplats,Emils Gata,,59.3632177,17.9495763,Mariehäll
Lekplats,playground,Lekplats,Ronja Rövardotters Stig,,59.3633327,17.9474769,Mariehäll
Lekplats,playground,Lekplats,Ronja Rövardotters Stig,,59.3634194,17.9473281,Mariehäll
Lekplats,playground,Lekplats,Tegelbergsvägen,,59.3583515,17.9529108,Mariehäll
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Björnsonsgatan,,59.3456372,17.8783771,Blackeberg
Snurran,playground,Lekplats,Sopvägen,,59.3184994,17.9544361,Ålsten
Sushiparken,playground,Lekplats,Follingbogatan,,59.3582993,17.9040448,Eneby
Lekplatsen Bågen,playground,Lekplats,Bågvägen,,59.3226674,17.9548923,Ålsten
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Judarskogen Reflexbana MTB,,59.340791,17.9068068,Nockebyhov
Marino,restaurant,Restaurang & Snabbmat,Klubbacken,51,59.305325,17.9632902,Hägersten
Hemköp Stockholm Älvsjö,supermarket,Matbutik,Sjättenovembervägen,208,59.2787519,18.00228,Liseberg
OKQ8,fuel,Bensinmack,Kontrollvägen,,59.2944349,18.0025876,Västberga
Circle K,fuel,Bensinmack,Nioörtsvägen,,59.2999537,18.012147,Västberga
McDonald's,fast_food,Restaurang & Snabbmat,Lerkrogsvägen,,59.2930743,18.0012108,Västberga
Coop Västertorp,supermarket,Matbutik,Störtloppsvägen,17,59.2927384,17.9676426,Västertorp
Hemköp Hägersten Västertorp,supermarket,Matbutik,Störtloppsvägen,22,59.2930981,17.9677873,Västertorp
Sushi Bar,restaurant,Restaurang & Snabbmat,Störtloppsvägen,,59.2924236,17.9679342,Västertorp
Lekplats,playground,Lekplats,Långsjöhöjden,,59.2647808,17.9840719,Långsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2715724,17.9845487,Långsjö
ST1,fuel,Bensinmack,Elektravägen,33,59.2946662,18.0099656,Västberga
Apoteket,pharmacy,Apotek,Fruängstorget,6,59.2857782,17.9646066,Fruängen
Systembolaget,alcohol,Systembolag,Fruängsgången,10,59.2856716,17.9638677,Fruängen
Solberga restaurang,restaurant,Restaurang & Snabbmat,Klacktorget,4,59.2869324,18.0104442,Solberga
Stora Coop Västberga,supermarket,Matbutik,Västbergavägen,4,59.2937143,18.0046482,Västberga
Willys Stockholm Älvsjö,supermarket,Matbutik,Älvsjö Ängsväg,2-6,59.2753,18.0132,Liseberg
ICA Supermarket,supermarket,Matbutik,Sjövikstorget,,59.3073101,18.0296528,Liljeholmen
E4-baren,fast_food,Restaurang & Snabbmat,Kristallvägen,156,59.2897345,18.0023026,Solberga
Cafe Vintervikens Trädgård,cafe,Kafé,Vinterviksvägen,30,59.3112368,17.9990416,Aspudden
Coop Gröndal,supermarket,Matbutik,Gröndalsvägen,,59.3160917,18.0116571,Gröndal
Ekensbergs Pizza,fast_food,Restaurang & Snabbmat,Gröndalsvägen,,59.3148143,17.9953198,Gröndal
Lundbergs konditori,cafe,Kafé,Sjöbjörnsvägen,,59.3160215,18.0103222,Gröndal
Gröndals Sushi Kök,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3158464,18.0136582,Gröndal
Tre Vänner,restaurant,Restaurang & Snabbmat,Svandammsvägen,,59.3014183,18.0120339,Midsommarkransen
Tegelbruket,cafe,Kafé,Svandammsvägen,,59.3020479,18.0153506,Midsommarkransen
Restaurant Kransen,restaurant,Restaurang & Snabbmat,Nybodagatan,,59.3022631,18.0148264,Midsommarkransen
Pita i parken,restaurant,Restaurang & Snabbmat,Svandammsvägen,,59.301094,18.0069063,Midsommarkransen
Tellus,cinema,Biograf,Vattenledningsvägen,,59.3019888,18.0075991,Midsommarkransen
OKQ8 Hägersten,fuel,Bensinmack,Elsa Brändströms Gata,,59.2876582,17.9800825,Fruängen
ICA Nära Telefonplan,supermarket,Matbutik,Telefonvägen,20,59.2988217,17.9969403,Midsommarkransen
Pizzeria Italia,fast_food,Restaurang & Snabbmat,Cedergrensvägen,,59.3001157,17.9957628,Midsommarkransen
Best on the best,restaurant,Restaurang & Snabbmat,LM Ericssons Väg,,59.29991,17.9959046,Midsommarkransen
Landet,restaurant,Restaurang & Snabbmat,Valborgsmässovägen,,59.2991679,17.9962667,Midsommarkransen
Lurparken,playground,Lekplats,Huvudfabriksgatan,,59.3009202,17.9933312,Midsommarkransen
Telegrillen,fast_food,Restaurang & Snabbmat,Mikrofonvägen,,59.2979103,17.9971428,Midsommarkransen
JJ's,fast_food,Restaurang & Snabbmat,Främlingsvägen,,59.3039515,18.0036438,Midsommarkransen
Coop Älvsjö,supermarket,Matbutik,Älvsjö Torg,4,59.2790528,18.0099095,Älvsjö
Gröndals grill & pizza,fast_food,Restaurang & Snabbmat,Gröndalsvägen,,59.3158038,18.0095939,Gröndal
Gröndals bibliotek,library,Bibliotek,Gröndalsvägen,,59.3161337,18.0121677,Gröndal
Gandhi,restaurant,Restaurang & Snabbmat,Sjöbjörnsvägen,,59.316601,18.0083698,Gröndal
Hägern,restaurant,Restaurang & Snabbmat,Inteckningsvägen,84,59.2944861,17.9809865,Hägerstensåsen
Ica,supermarket,Matbutik,Sparbanksvägen,,59.2971133,17.982747,Hägerstensåsen
Indian Lotus,restaurant,Restaurang & Snabbmat,Riksdalervägen,,59.2974935,17.9843719,Hägerstensåsen
Da Dante,restaurant,Restaurang & Snabbmat,Brådstupsvägen,,59.3040862,17.9591433,Hägersten
Villa Fridhem,restaurant,Restaurang & Snabbmat,Mälarhöjdsvägen,2,59.3016308,17.956049,Mälarhöjden
Coop Örnsberg,supermarket,Matbutik,Junkergatan,27,59.3057786,17.9895142,Aspudden
Wintervikens cafe,cafe,Kafé,Vinterviksvägen,60,59.3116377,17.9921168,Aspudden
Pizzeria Sorrento,fast_food,Restaurang & Snabbmat,Störtloppsvägen,26,59.2933579,17.9675477,Västertorp
Nickys Thai,restaurant,Restaurang & Snabbmat,Styrbjörnsvägen,,59.3094687,18.0026802,Aspudden
Coop Aspudden,supermarket,Matbutik,Fågeltorget,,59.3053907,17.9932874,Aspudden
Tellus Restaurang,restaurant,Restaurang & Snabbmat,Dialoggatan,11,59.2991966,17.9924373,Midsommarkransen
"ICA Hallen, Axelsberg",supermarket,Matbutik,Selmedalsvägen,38,59.3048107,17.9755631,Hägersten
Mix Thai,fast_food,Restaurang & Snabbmat,Doktor Widerströms Gata,1,59.2840405,17.9578914,Fruängen
Hemköp Stockholm Fruängen C,supermarket,Matbutik,Fruängsgången,10,59.2856612,17.9646492,Fruängen
Bankomat,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3076959,18.0305063,Liljeholmen
Nästan hemma,cafe,Kafé,Slättgårdsvägen,1,59.3009248,17.957392,Hägersten
Lekplats,playground,Lekplats,Klubbensborgsvägen,,59.3048245,17.9590871,Hägersten
Långpannan,restaurant,Restaurang & Snabbmat,Elsa Borgs Gata,,59.2829973,17.9647493,Fruängen
Coop Fruängen,supermarket,Matbutik,Fruängsgången,3,59.2854719,17.9653558,Fruängen
Lucky,fast_food,Restaurang & Snabbmat,Örnsbergsvägen,,59.3054372,17.98887,Aspudden
Woktory,restaurant,Restaurang & Snabbmat,Ellen Keys Gata,75,59.2846844,17.9662449,Fruängen
Fruängens Läkarhus,doctor,Vårdcentral,Fruängsgången,2,59.2855867,17.9667241,Fruängen
Bella Donna,fast_food,Restaurang & Snabbmat,Fruängsgatan,,59.2853202,17.9631433,Fruängen
Grillhörnan,fast_food,Restaurang & Snabbmat,Fruängsplan,,59.2857793,17.9652246,Fruängen
Fruängens bibliotek,library,Bibliotek,Fruängsgången,,59.2856698,17.9654212,Fruängen
Bigges,fast_food,Restaurang & Snabbmat,Fruängsgatan,,59.2852617,17.9646355,Fruängen
Cafékoppen,cafe,Kafé,Fruängstorget,4,59.2858337,17.9634488,Fruängen
66 Kvadrat Sushi,restaurant,Restaurang & Snabbmat,Fruängsgatan,,59.2847551,17.9618674,Fruängen
Pizzeria Tropicana,fast_food,Restaurang & Snabbmat,Vasaloppsvägen,,59.2937875,17.9655034,Västertorp
Apotek Hjärtat,pharmacy,Apotek,Störtloppsvägen,,59.2940587,17.9669036,Västertorp
Kronans Apotek,pharmacy,Apotek,Annebodavägen,4-6,59.2847122,18.0301247,Älvsjö
Kronans Apotek,pharmacy,Apotek,Telefonplan,,59.2986734,17.9970116,Midsommarkransen
Pepe Nero,restaurant,Restaurang & Snabbmat,Tivolivägen,2,59.2951017,18.0048473,Västberga
Circle K Truckdiesel,fuel,Bensinmack,Vretensborgsvägen,,59.2994785,18.0199642,Västberga
Pizzeria Spader Dam,restaurant,Restaurang & Snabbmat,Jenny Linds Gata,,59.2882766,17.9686475,Fruängen
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Störtloppsvägen,,59.2921669,17.9681563,Västertorp
Korfu Orfa,restaurant,Restaurang & Snabbmat,Sparbanksvägen,,59.2976427,17.9826086,Hägerstensåsen
Wong Kee,restaurant,Restaurang & Snabbmat,Grönbrinksgatan,,59.3069965,18.0290177,Liljeholmen
Gröna Dalen,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3160058,18.0111341,Gröndal
Thai Rung,restaurant,Restaurang & Snabbmat,Liljeholmstorget,,59.3104328,18.0223051,Liljeholmen
Di Metro,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3101026,18.0220192,Liljeholmen
McDonald's,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3104032,18.0229847,Liljeholmen
Coop Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3106203,18.0235883,Liljeholmen
Äldreboendet Trekanten,restaurant,Restaurang & Snabbmat,Trekantsstranden,,59.3134648,18.0181386,Liljeholmen
Liljeholmens Grill,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3100673,18.0218658,Liljeholmen
KFC,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3097444,18.0221382,Liljeholmen
Bravo,cafe,Kafé,Liljeholmstorget,,59.3101203,18.0232131,Liljeholmen
Lidl,supermarket,Matbutik,Liljeholmstorget,,59.3100484,18.0233359,Liljeholmen
Bara Vedugnspizza,restaurant,Restaurang & Snabbmat,Örby Slottsväg,48,59.2797601,18.0342466,Örby slott
Bella Notte,restaurant,Restaurang & Snabbmat,Tegelbruksvägen,,59.3023424,18.0141062,Midsommarkransen
Sats,fitness_centre,Gym/Utomhusgym,Buteljgatan,,59.3091841,18.0284825,Liljeholmen
Koi Sushi,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.3053498,17.9975035,Aspudden
Mama Ye's,restaurant,Restaurang & Snabbmat,Sjövikstorget,,59.3075449,18.0301795,Liljeholmen
ICA Kvantum Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3094423,18.0222688,Liljeholmen
Willys,supermarket,Matbutik,Nybohovsbacken,,59.3093766,18.0211932,Liljeholmen
Brisket & friends,fast_food,Restaurang & Snabbmat,Upplagsvägen,,59.2994274,18.0216412,Västberga
Morningstar Cafe,restaurant,Restaurang & Snabbmat,Drivhjulsvägen,,59.2967508,18.019543,Västberga
Coop Midsommarkransen,supermarket,Matbutik,Svandammsvägen,20,59.301647,18.0124794,Midsommarkransen
Svenska Sushiköket,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,76,59.3003552,18.0040262,Midsommarkransen
Pizzeria Fellini,fast_food,Restaurang & Snabbmat,Midsommarvägen,,59.300644,18.0121602,Midsommarkransen
Kransens Wok,fast_food,Restaurang & Snabbmat,Tegelbruksvägen,,59.3031402,18.0127352,Midsommarkransen
